prompt,id,question,annotations,ambiguous
When did the byzantine empire start to decline?,941064240300059394,When did the byzantine empire start to decline?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When did the byzantine empire start to decline slightly after major losses during Arab conquests?',
              'When did the byzantine empire start to decline for a final time?'],
             dtype=object), 'answer': array([array(['7th century'], dtype=object),
              array(['1071', '11th century'], dtype=object)], dtype=object)}                                                   ,
       {'question': array(['When did the byzantine empire first start to decline?',
              'When did the byzantine empire final start to decline?'],
             dtype=object), 'answer': array([array(['7th century'], dtype=object),
              array(['11th century'], dtype=object)], dtype=object)}               ],
      dtype=object)}",True
Where did the hemlock wooly adelgid come from?,5733209654758497457,Where did the hemlock wooly adelgid come from?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Where is the hemlock wooly adelgid native to?',
              'Where did the hemlock wooly adelgid come to North America from?'],
             dtype=object), 'answer': array([array(['East Asia'], dtype=object), array(['Japan'], dtype=object)],
             dtype=object)}                                                                                      ],
      dtype=object)}",True
Who died in the book into thin air?,5058628513723402491,Who died in the book into thin air?,"{'type': array(['singleAnswer', 'multipleQAs'], dtype=object), 'answer': array([array(['Scott Fischer, Rob Hall, Andy Harris, Doug Hansen, Yasuko Namba, Tsewang Samanla, Dorje Morup, Tsewang Paljor'],
             dtype=object)                                                                                                     ,
       array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array(['Who died on the Mountain Madness expedition in the book ""Into Thin Air""?',
              'Who died on the Adventure consultants expedition in the book ""Into Thin Air""?',
              'Who on the Indo-Tibetan Border Police died in the book ""Into Thin Air""?'],
             dtype=object), 'answer': array([array(['Scott Fischer'], dtype=object),
              array(['Rob Hall, Doug Hansen, Andrew Harris and Yasuko Namba'],
                    dtype=object)                                             ,
              array(['Dorje Morup, Tsewang Paljor, and Tsewang Samanla.'], dtype=object)],
             dtype=object)}                                                                           ],
      dtype=object)}",True
Where did blair and serena go to school?,-7082373971902583330,Where did blair and serena go to school?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Where did Blair and Serena from Gossip Girl go to high school?',
              'Where did Blair from Gossip Girl go to college?',
              'Where did Serena from Gossip Girl go to college?'], dtype=object), 'answer': array([array(['Constance Billard school'], dtype=object),
              array(['New York University, Columbia University'], dtype=object),
              array(['Columbia University'], dtype=object)], dtype=object)}                                                                          ,
       {'question': array(['What  was the name of where blair and serena go to school?',
              'What city did blair and serena go to school?'], dtype=object), 'answer': array([array(['Constance Billard School for Girls'], dtype=object),
              array(['Upper East Side', 'New York City'], dtype=object)],
             dtype=object)}                                                                                                                                ],
      dtype=object)}",True
When was the svalbard global seed vault built?,-326355463267056181,When was the svalbard global seed vault built?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When did construction start on the Svalbard Global seed vault?',
              'When did the Svalbard global seed vault open?'], dtype=object), 'answer': array([array(['June 19, 2006'], dtype=object),
              array(['February 26, 2008'], dtype=object)], dtype=object)}                                                              ],
      dtype=object)}",True
When will the next fifty shades of grey movie be released?,-8900080097940527212,When will the next fifty shades of grey movie be released?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When will the 2017 fifty shades of grey movie be released in Hamburg?',
              'When will the 2017 fifty shades of grey movie be released in the United States?',
              'When will the 2015 fifty shades of grey movie be released in Los Angeles?',
              'When will the 2015 fifty shades of grey movie be released in all of the United States?',
              'When will the 2015 fifty shades of grey movie be released in Berlin?'],
             dtype=object), 'answer': array([array(['February 7, 2017'], dtype=object),
              array(['February 10, 2017'], dtype=object),
              array(['February 9, 2015'], dtype=object),
              array(['February 13, 2015'], dtype=object),
              array(['February 11, 2015'], dtype=object)], dtype=object)}                              ,
       {'question': array(['When will the 3rd fifty shades of grey movie be released in Paris?',
              'When will the 3rd fifty shades of grey movie be released in the United States?',
              'When will the 2nd fifty shades of grey movie be released in Hamburg?',
              'When will the 2nd fifty shades of grey movie be released in the United States?'],
             dtype=object), 'answer': array([array(['February 6, 2018'], dtype=object),
              array(['February 9, 2018'], dtype=object),
              array(['February 7, 2017'], dtype=object),
              array(['February 10, 2017'], dtype=object)], dtype=object)}                       ],
      dtype=object)}",True
Where does the term cupboard love come from?,7803488668042298223,Where does the term cupboard love come from?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['From whose work does the term cupboard love come from?',
              'From what era does the term cupboard love come from?',
              'From what field does the term cupboard love come from?'],
             dtype=object), 'answer': array([array(['Sigmund Freud, Anna Freud, Melanie Klein and Mary Ainsworth'],
                    dtype=object)                                                   ,
              array(['1950s and 1960s'], dtype=object),
              array(['psychoanalysis'], dtype=object)], dtype=object)}                                             ],
      dtype=object)}",True
When did sat change from 1600 to 2400?,-295985975707844159,When did sat change from 1600 to 2400?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['March 12, 2005'], dtype=object),
       array(['March 12, 2005'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Who sang still crazy after all these years?,-7582650876403615860,Who sang still crazy after all these years?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who originally sang still crazy after all these years?',
              'Who sang still crazy after all these years in 2000?',
              'Who sang still crazy after all these years in 1996?',
              'Who sang still crazy after all these years in 1993?'],
             dtype=object), 'answer': array([array(['Paul Simon'], dtype=object),
              array(['Willie Nelson'], dtype=object),
              array(['Karen Carpenter'], dtype=object),
              array(['Ray Charles'], dtype=object)], dtype=object)}                 ],
      dtype=object)}",True
Who sang what is love baby don't hurt me?,-2162714330037272999,Who sang what is love baby don't hurt me?,"{'type': array(['singleAnswer', 'multipleQAs'], dtype=object), 'answer': array([array(['Haddaway', 'Nestor Alexander Haddaway'], dtype=object),
       array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array(['Who sang the original version of ""What is Love""?',
              'Who sang What is Love in 2013?', 'Who sang What is Love in 2014?',
              'Who sang What is Love in 2009?'], dtype=object), 'answer': array([array(['Haddaway'], dtype=object),
              array(['Foolstop'], dtype=object), array(['Kiesza'], dtype=object),
              array(['Klaas'], dtype=object)], dtype=object)}                                                      ],
      dtype=object)}",True
When was the international red cross established and why?,6635099307335066088,When was the international red cross established and why?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When was the precursor to the international red cross called the International Committee for Relief to the Wounded"" established?',
              'When were the first national societies of the international red cross established?',
              'What book was the driving force behind the international red cross being established?',
              'After witnessing the soldiers suffering at what battle, did Dunant decide to right the book that would inspire the creation international red cross?'],
             dtype=object), 'answer': array([array(['29 October 1863'], dtype=object),
              array(['1864'], dtype=object),
              array(['A Memory of Solferino'], dtype=object),
              array(['Battle of Solferino'], dtype=object)], dtype=object)}                                                                                           ],
      dtype=object)}",True
When did the ingalls move to walnut grove?,5040163511409900959,When did the ingalls move to walnut grove?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When which novel did the ingalls move to walnut grove?',
              'In what year was the novel published that the ingalls family moved to walnut grove?',
              'What year in the story did the ingalls first move to walnut grove?',
              'What year in the story did the ingalls move back to walnut grove?'],
             dtype=object), 'answer': array([array(['On the Banks of Plum Creek'], dtype=object),
              array(['1937'], dtype=object), array(['1874'], dtype=object),
              array(['1877'], dtype=object)], dtype=object)}                                        ],
      dtype=object)}",True
Who is the current agriculture minister of india?,-4437027893102241113,Who is the current agriculture minister of india?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who is the current agriculture minister of india in 2017?',
              'Who is the current agriculture minister of india in 2016?',
              'Who is the current agriculture minister of india in 2015?'],
             dtype=object), 'answer': array([array(['Singh', 'Radha Mohan Singh'], dtype=object),
              array(['Singh', 'Radha Mohan Singh'], dtype=object),
              array(['Singh', 'Radha Mohan Singh'], dtype=object)], dtype=object)}               ,
       {'question': array(['Who is the current agriculture minister of india in 2019?',
              'Who is the current agriculture minister of india in 2014?',
              'Who is the current agriculture minister of india in 2004?'],
             dtype=object), 'answer': array([array(['Narendra Singh Tomar'], dtype=object),
              array(['Radha Mohan Singh'], dtype=object),
              array(['Sharad Pawar'], dtype=object)], dtype=object)}                       ],
      dtype=object)}",True
Who played zorro son in the legend of zorro?,4757523269455004982,Who played zorro son in the legend of zorro?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([""Who played zorro's son in the 2005 legend of zorro film?"",
              ""Who voices zorro's adopted son/brother in the 1996 legend of zorro anime?""],
             dtype=object), 'answer': array([array(['Alonso', 'Adrián Alonso'], dtype=object),
              array(['Rica Matsumoto', 'Matsumoto'], dtype=object)], dtype=object)}           ],
      dtype=object)}",True
What is a ford mondeo in the usa?,-648842070307266365,What is a ford mondeo in the usa?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['What class of car is a ford mondeo in the usa?',
              'What name was the ford Mk I mondeo sold under in the usa?',
              'What name was the ford Mk II mondeo sold under in the usa?',
              'What name was the ford Mk V mondeo sold under in the usa?',
              'What car is a ford mondeo design based off of in the usa?'],
             dtype=object), 'answer': array([array(['Mid-size car', 'Mid-size', 'intermediate'], dtype=object),
              array(['Ford Contour', 'Contour'], dtype=object),
              array(['Mercury Mystique', 'Mystique'], dtype=object),
              array(['Ford Fusion', 'Fusion'], dtype=object),
              array(['Ford Tempo/Mercury Topaz', 'Ford Tempo', 'Mercury Topaz'],
                    dtype=object)                                               ],
             dtype=object)}                                                                                    ],
      dtype=object)}",True
Who played the original roman on days of our lives?,-8192912026823433918,Who played the original roman on days of our lives?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Wayne Northrop'], dtype=object),
       array(['Wayne Northrop'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When does the next episode of the next step come out?,7063062895769032537,When does the next episode of the next step come out?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When did episode 154 of The Next Step (2013) originally release?',
              'When did episode 153 of The Next Step (2013) originally release?',
              'When did episode 152 of The Next Step (2013) originally release?'],
             dtype=object), 'answer': array([array(['December 13, 2017'], dtype=object),
              array(['December 6, 2017'], dtype=object),
              array(['November 29, 2017'], dtype=object)], dtype=object)}                     ,
       {'question': array(['When does the next episode of the next step come out in 2017?',
              'When does the next episode of the next step come out in 2016?',
              'When does the next episode of the next step come out in 2015?'],
             dtype=object), 'answer': array([array(['May 26, 2017'], dtype=object),
              array(['February 15, 2016'], dtype=object),
              array(['March 16, 2015'], dtype=object)], dtype=object)}                     ],
      dtype=object)}",True
Where is most of the water in the body located?,8127587315388488532,Where is most of the water in the body located?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Intracellular fluid'], dtype=object),
       array(['cytosol', 'Intracellular fluid', 'ICF', 'groundplasm',
              'cytoplasmic matrix'], dtype=object)                   ],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When did the french join revolution on colonists side?,-673487982339290600,When did the french join revolution on colonists side?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When did the french join revolution on colonists side by secretly shipping supplies?',
              'When did the french join revolution on colonists side by sending military aid though a company called Rodrigue Hortalez et Compagnie?',
              'When did the french join revolution on colonists side after signing a treaty that made Britain declare war on them?'],
             dtype=object), 'answer': array([array(['June 1775'], dtype=object),
              array(['spring of 1776'], dtype=object),
              array(['March 17, 1778'], dtype=object)], dtype=object)}                                                                                ],
      dtype=object)}",True
What is the dominant ethnic group of southern south america including argentina and uruguay?,8355351405548056695,What is the dominant ethnic group of southern south america including argentina and uruguay?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['People of European descent', 'European'], dtype=object),
       array(['People of European descent', 'Spanish and Portuguese'],
             dtype=object)                                            ],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Who played nellie bly in frankie and johnny?,-3891499323111275629,Who played nellie bly in frankie and johnny?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who played nellie bly in frankie and johnny in 1966?',
              'Who played nellie bly in frankie and johnny in 1936?'],
             dtype=object), 'answer': array([array(['Nancy Kovack'], dtype=object),
              array(['Lilyan Tashman'], dtype=object)], dtype=object)}             ,
       {'question': array(['Who played Nellie Bly in Frankie and Johnny (1936 film)?',
              'Who played Nellie Bly in Frankie and Johnny (1966 film)?'],
             dtype=object), 'answer': array([array(['Lilyan Tashman'], dtype=object),
              array(['Nancy Kovack'], dtype=object)], dtype=object)}                  ],
      dtype=object)}",True
When does switched at birth come back on 2017?,-3784400955717699733,When does switched at birth come back on 2017?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['January 31, 2017'], dtype=object),
       array(['January 31, 2017'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When did presidents start swearing on the bible?,186391616945458797,When did presidents start swearing on the bible?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['April 30, 1789'], dtype=object),
       array(['April 30, 1789'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When did the first generation kindle fire come out?,-1062522255440685408,When did the first generation kindle fire come out?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When did the first generation kindle fire come out in US?',
              'When did the first generation kindle fire come out in Europe?',
              'When did the first generation kindle fire come out in Japan?'],
             dtype=object), 'answer': array([array(['November 15, 2011'], dtype=object),
              array(['September 6, 2012'], dtype=object),
              array(['December 18, 2012'], dtype=object)], dtype=object)}               ,
       {'question': array(['When did the first generation kindle fire come out in the United States?',
              'When did the first generation kindle fire come out in Europe?',
              'When did the first generation kindle fire come out in Japan?'],
             dtype=object), 'answer': array([array(['November 15, 2011'], dtype=object),
              array(['September 6, 2012'], dtype=object),
              array(['December 18, 2012'], dtype=object)], dtype=object)}                             ],
      dtype=object)}",True
What instrument do you blow into with a keyboard?,839574015330081836,What instrument do you blow into with a keyboard?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['What instrument do you blow into with a keyboard that was invented in 1950?',
              'What instrument do you blow into with a keyboard that was invented in 1960?'],
             dtype=object), 'answer': array([array(['Melodica'], dtype=object),
              array(['Claviola'], dtype=object)], dtype=object)}                                         ],
      dtype=object)}",True
Where is the shema found in the torah?,3934158776553957496,Where is the shema found in the torah?,"{'type': array(['multipleQAs', 'singleAnswer'], dtype=object), 'answer': array([array([], dtype=object),
       array(['Deut. 6:4-9', 'Num. 15:37–41', 'Deut. 11:13–21'], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array(['In what book is the shema found in the torah?',
              'Where are the specific verses that the shema is found in the torah?'],
             dtype=object), 'answer': array([array(['Deuteronomy', 'Numbers', 'Deuteronomy and Numbers'], dtype=object),
              array(['Deuteronomy 6:4–9, 11:13-21',
                     'Deuteronomy 6:4–9 and 11:13-21 and Numbers 15:37–41',
                     'Numbers 15:37–41'], dtype=object)                    ],
             dtype=object)}                                                                                             ,
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",True
Who won the the battle of bull run?,-1715582751975338829,Who won the the battle of bull run?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['What army won the first battle of Bull Run?',
              'What political leader won the first battle of Bull Run?',
              'Which military commanders won the battle of Bull Run?',
              'What army won the second battle of Bull Run?',
              'What Military Commander won the second battle of Bull Run?'],
             dtype=object), 'answer': array([array(['Confederate'], dtype=object),
              array(['Jefferson Davis'], dtype=object),
              array(['P.G.T. Beauregard, Thomas ""Stonewall"" Jackson, and Joseph E. Johnston'],
                    dtype=object)                                                             ,
              array(['Confederate'], dtype=object),
              array(['Robert E Lee'], dtype=object)], dtype=object)}                           ,
       {'question': array(['Who won the first battle of bull run?',
              'Who won the second battle of bull run?',
              'What commander won the the battle of bull run?',
              'What commander arrived by railroad and helped won the first battle of bull run?',
              'What brigadier general won the first battle of bull run?'],
             dtype=object), 'answer': array([array(['Confederates'], dtype=object),
              array(['Confederates'], dtype=object),
              array(['Robert E. Lee'], dtype=object),
              array(['Joseph E. Johnston'], dtype=object),
              array(['Thomas ""Stonewall"" Jackson'], dtype=object)], dtype=object)}              ],
      dtype=object)}",True
Who's the lead singer in imagine dragons?,-991896359388418233,Who's the lead singer in imagine dragons?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Daniel Coulter Reynolds', 'Dan Reynolds'], dtype=object),
       array(['Daniel Coulter Reynolds', 'Dan Reynolds', 'Reynolds'],
             dtype=object)                                           ],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When does fiffty shades freed come out on dvd?,-6341120492738616747,When does fiffty shades freed come out on dvd?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['May 8, 2018'], dtype=object),
       array(['May 8, 2018'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When did the phillies win the world series?,5382399624277720362,When did the phillies win the world series?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When did the Philadelphia Phillies win their first world series championship?',
              'When did the Philadelphia Phillies win their second world series championship?'],
             dtype=object), 'answer': array([array(['1980'], dtype=object), array(['2008'], dtype=object)],
             dtype=object)}                                                                                ],
      dtype=object)}",True
When did constituent assembly adopted the constitution of india?,6591570080832897877,When did constituent assembly adopted the constitution of india?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['26 November 1949'], dtype=object),
       array(['November 26, 1949'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When does toby come back to the office?,7376722717277534329,When does toby come back to the office?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['What episode does toby come back to the office?',
              'Which date did the episode air that toby comes back to the office?'],
             dtype=object), 'answer': array([array(['Season 5 Episode 9', 'Frame Toby'], dtype=object),
              array(['November 20, 2008'], dtype=object)], dtype=object)}                              ],
      dtype=object)}",True
When did louisiana become a part of the united states?,3432208636822530282,When did louisiana become a part of the united states?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When did The Louisiana Purchase become part of the United States?',
              'When did Louisiana join the Union?'], dtype=object), 'answer': array([array(['July 4 1803'], dtype=object),
              array(['April 30, 1812'], dtype=object)], dtype=object)}                                                    ,
       {'question': array(['When did the territory of Louisiana become a part of the United States?',
              'When did the state of Louisiana become a part of the United States?'],
             dtype=object), 'answer': array([array(['July 4, 1803'], dtype=object),
              array(['April 30, 1812'], dtype=object)], dtype=object)}                               ],
      dtype=object)}",True
Which lane is the passing lane in canada?,7124199474014892584,Which lane is the passing lane in canada?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['to the left'], dtype=object),
       array(['to the left'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When is fortnite battle royale being released on android?,-3675478481857186593,When is fortnite battle royale being released on android?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When is fortnite battle royale beta version being released on android for samsung devices exclusively?',
              'When is fortnite battle royale beta version being released on android for non-Samsung devices?',
              'When is fortnite battle royale being released on android to all without an invite?'],
             dtype=object), 'answer': array([array(['August 9, 2018'], dtype=object),
              array(['August 13, 2018'], dtype=object),
              array(['October 11, 2018'], dtype=object)], dtype=object)}                                                            ],
      dtype=object)}",True
Who plays the voice of hallie on doc mcstuffins?,-8000332353681786981,Who plays the voice of hallie on doc mcstuffins?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Devine', 'Loretta Devine'], dtype=object),
       array(['Loretta Devine'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Who was the first singing brothers in the hall of fame?,7150599999316106461,Who was the first singing brothers in the hall of fame?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who was the first singing brothers in the rock and roll hall of fame?',
              'Who was the first singing brothers in the country music hall of fame?'],
             dtype=object), 'answer': array([array(['The Everly Brothers', 'Don Everly Phil Everly'], dtype=object),
              array(['The Louvin Brothers, the Everly Brothers, and the Delmore Brothers',
                     'The Louvin Brothers', 'the Everly Brothers',
                     'the Delmore Brothers'], dtype=object)                               ],
             dtype=object)}                                                                                         ],
      dtype=object)}",True
Who plays pee wee in pee wee's big holiday?,-2549407535568028046,Who plays pee wee in pee wee's big holiday?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Paul Rubenfeld', 'Paul Reubens', 'Reubens'], dtype=object),
       array(['Paul Reubens'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Who is the tallest person on the earth?,2187765416989332036,Who is the tallest person on the earth?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who has the stage name the tallest person on the earth?',
              'Who is the tallest man in recorded history on the earth?',
              'Who is the unconfirmed tallest woman in history on the earth?',
              'Who is the tallest confirmed woman in recorded history on the earth?'],
             dtype=object), 'answer': array([array(['Kristian Matsson'], dtype=object),
              array(['Robert Wadlow'], dtype=object),
              array(['Trijntje Keever'], dtype=object),
              array(['Zeng Jinlian'], dtype=object)], dtype=object)}                   ],
      dtype=object)}",True
Where does raymond live in everybody loves raymond?,-7552544848676354758,Where does raymond live in everybody loves raymond?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['What is the city and state where Raymond lives in Everybody Loves Raymond?',
              'Where does Raymond live in Everybody Loves Raymond, in relation to other people?'],
             dtype=object), 'answer': array([array(['Lynbrook, Long Island'], dtype=object),
              array(['across the street from his parents'], dtype=object)],
             dtype=object)}                                                                             ,
       {'question': array(['In what region does Raymond live in Everybody Loves Raymond?',
              'In what city does Raymond live in Everybody Loves Raymond?',
              'Where does Raymond live in Everybody Loves Raymond, in terms of other people?'],
             dtype=object), 'answer': array([array(['Long Island'], dtype=object),
              array(['Lynbrook, NY'], dtype=object),
              array(['across the street from his parents'], dtype=object)],
             dtype=object)}                                                                    ],
      dtype=object)}",True
How many lost in space episodes are there?,-8206833756607197293,How many lost in space episodes are there?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['How many lost in space episodes are there from the 1960s TV series, excluding the unaired pilot?',
              'How many lost in space episodes are there from the 2018 TV series?'],
             dtype=object), 'answer': array([array(['84'], dtype=object), array(['20'], dtype=object)],
             dtype=object)}                                                                                                   ],
      dtype=object)}",True
Who were the original twins in everybody loves raymond?,4150448921344430432,Who were the original twins in everybody loves raymond?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Which characters were the original twins in everybody loves raymond?',
              'Which actors were the original twins in everybody loves raymond?'],
             dtype=object), 'answer': array([array(['Gregory and Matthew'], dtype=object),
              array(['the Ferreira triplets'], dtype=object)], dtype=object)}                     ],
      dtype=object)}",True
Who introduced western art techniques to the chinese?,-1838080319623473919,Who introduced western art techniques to the chinese?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['The Jesuits'], dtype=object),
       array(['The Jesuits', 'Society of Jesus members'], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When did the church of england allow female bishops?,-7737934222877964613,When did the church of england allow female bishops?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When did the church of england allow female bishops due to related legislation being approved by the General Synod?',
              'When did the church of england allow female bishops due to related legislation passing all three houses of General Synod?'],
             dtype=object), 'answer': array([array(['17 November 2014'], dtype=object),
              array(['14 July 2014'], dtype=object)], dtype=object)}                                                                             ],
      dtype=object)}",True
When did the soviet union explode its first atomic bomb?,-9071098640885474868,When did the soviet union explode its first atomic bomb?,"{'type': array(['singleAnswer'], dtype=object), 'answer': array([array(['29 August 1949'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Who plays dr damprey on jane the virgin?,7933180832992348947,Who plays dr damprey on jane the virgin?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Megan Park'], dtype=object),
       array(['Megan Park'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
