question_id,category,question,A,B,C,D,E,F,G,H,I,J,answer,answer_index
7590,economics,"Miss Lane had the following income tax information in 1978 while she worked as a reporter on a large metropolitan news paper: Taxable income $15,000 Exemptions 1,500 Business Expenses 6,000 Non business Expenses 3,000 Find Miss Lane's adjusted gross income and gross income for 1978.","Adjusted Gross Income: $19,500, Gross Income: $25,500","Adjusted Gross Income: $8,500, Gross Income: $23,500","Adjusted Gross Income: $20,000, Gross Income: $25,000","Adjusted Gross Income: $9,000, Gross Income: $21,000","Adjusted Gross Income: $16,500, Gross Income: $28,500","Adjusted Gross Income: $12,000, Gross Income: $27,000","Adjusted Gross Income: $11,500, Gross Income: $22,500","Adjusted Gross Income: $10,500, Gross Income: $20,500","Adjusted Gross Income: $19,000, Gross Income: $26,000","Adjusted Gross Income: $18,500, Gross Income: $24,500",A,0
7304,economics,Normal goods always have a/an,inelastic demand curve,upward sloping demand curve,positive income elasticity,elastic price elasticity,elastic demand curve,elastic supply curve,inelastic price elasticity,downward sloping supply curve,negative cross elasticity,negative income elasticity,C,2
7389,economics,What is meant by income elasticity of demand?,Income elasticity of demand is the change in demand for a good in response to a change in the price level of all other goods.,Income elasticity of demand is the degree to which the demand for a good changes in relation to changes in population demographics.,Income elasticity of demand is the ratio of the change in the quantity of a good supplied to the change in consumer's income.,Income elasticity of demand is the proportion of income spent on a good to the total income.,Income elasticity of demand is the measure of how much the quantity of a good demanded fluctuates with changes in the prices of complementary goods.,Income elasticity of demand is the percentage change in the price of a good divided by the percentage change in a consumer's income.,Income elasticity of demand is the measure of a consumer's willingness to buy more as income increases.,Income elasticity of demand is the correlation between a consumer's income and the price of a good.,Income elasticity of demand is defined as the percentage change in quantity of a good demanded divided by the percentage change in a consumer's income.,Income elasticity of demand is the change in the quantity of a good demanded in response to a one percent increase in the market interest rate.,I,8
6954,economics,"What is meant by ""economic resources"" or ""factorsof production""? Name three categories of resources.","Capital, commodities, and currency","raw materials, human resources and technology","natural resources, artificial resources and human resources","Water, oil, and minerals","Intellectual property, workforce, and real estate","money, machines and management","Skills, stocks, and bonds","Infrastructure, entrepreneurship, and knowledge","land, labor and capital","Technology, patents, and brands",I,8
12232,engineering,"A 15 hp internal-combustion engine runs at 1400 rpm and rotates a grinding disc at 700 rpm under smooth conditions. If a triple strand no. 50 roller chain is to transmit power, calculate the number of teeth on both sprockets and the kind of lubrication needed for rust-proof operation.","Driving sprocket = 11 teeth, Driven sprocket = 22 teeth, Lubrication type = B","Driving sprocket = 7 teeth, Driven sprocket = 14 teeth, Lubrication type = D","Driving sprocket = 6 teeth, Driven sprocket = 12 teeth, Lubrication type = C","Driving sprocket = 14 teeth, Driven sprocket = 28 teeth, Lubrication type = A","Driving sprocket = 15 teeth, Driven sprocket = 30 teeth, Lubrication type = D","Driving sprocket = 12 teeth, Driven sprocket = 24 teeth, Lubrication type = C","Driving sprocket = 9 teeth, Driven sprocket = 18 teeth, Lubrication type = B","Driving sprocket = 13 teeth, Driven sprocket = 26 teeth, Lubrication type = A","Driving sprocket = 8 teeth, Driven sprocket = 16 teeth, Lubrication type = C","Driving sprocket = 10 teeth, Driven sprocket = 20 teeth, Lubrication type = A",G,6
11674,engineering,"Determine (a) the specific speed of a pump that is to deliver 2,000gpmagainst a head of 150 ft with arotativespeed of 600 rpm.(b) If therotativespeed were doubled, what would bethe flow rate and the head developed by the pump? Assume no change in efficiency. (c) The specific speed for theconditions given in (b). And (d) find the required operatingspeed of a two-stage pump to satisfy the requirementsin (a).","(a) 610, (b) 3200gpm and 480ft, (c) 610, (d) 390 rpm","(a) 650, (b) 4200gpm and 630ft, (c) 650, (d) 340 rpm","(a) 600, (b) 3000gpm and 450ft, (c) 600, (d) 400 rpm","(a) 640, (b) 3800gpm and 570ft, (c) 640, (d) 355 rpm","(a) 625, (b) 3500gpm and 550ft, (c) 650, (d) 375 rpm","(a) 630, (b) 4600gpm and 690ft, (c) 630, (d) 345 rpm","(a) 675, (b) 5000gpm and 750ft, (c) 675, (d) 330 rpm","(a) 650, (b) 4500gpm and 650ft, (c) 650, (d) 350 rpm","(a) 590, (b) 2800gpm and 420ft, (c) 590, (d) 410 rpm","(a) 625, (b) 4000gpm and 600ft, (c) 625, (d) 365 rpm",J,9
11365,engineering,"Methane reacts with water vapor at 25°C by the following reaction : CH_4(g) + H_2O(g) \rightleftharpoons CO(g) + 3H_2(g) Using the following data, calculate the standard Gibbs free-energychange for this reaction. Data \DeltaH_298^0(kcal mole^-1) \DeltaS_298^0(cal deg^-1 mole^-1) CH_4(g) - 17.89 44.5 CO(g) - 26.40 47.3 H_2(g) 0 31.2 H_2O(g) - 57.80 45.1",34 kcal/mole,"49,290 kcal/mole",-10 kcal/mole,24.2 kcal/mole,60 kcal/mole,"10,000 kcal/mole","15,280 kcal/mole",75.5 kcal/mole,51.3 kcal/mole,-20 kcal/mole,A,0
11852,engineering,Find the partial-fraction expansion of F(s) = [(8s + 2) / (s^2 + 3s + 2)],F(s) = [(-2) / (s + 1)] + [(-8) / (s + 2)],F(s) = [(8) / (s + 1)] + [(- 10) / (s + 2)],F(s) = [(8) / (s + 2)] + [(2) / (s + 1)],F(s) = [(-8) / (s + 1)] + [(-2) / (s + 2)],F(s) = [(6) / (s + 2)] + [(-14) / (s + 1)],F(s) = [(- 6) / (s + 1)] + [(-14) / (s + 2)],F(s) = [(- 6) / (s + 2)] + [14 / (s + 1)],F(s) = [(- 6) / (s + 1)] + [14 / (s + 2)],F(s) = [(6) / (s + 1)] + [14 / (s + 2)],F(s) = [(2) / (s + 1)] + [(6) / (s + 2)],H,7
11587,engineering,"What is the fugacity of water at a temperature of 298°K and a pressure of 10^7N/m^2? Assume that the following properties are known, for water at 298°K. \rho = 997 kg/m^3 MW = 18.02 kg/kg mol P_c = vapor pressure = 3,160 N/m^2",9000 N/m^2,500 N/m^2,10000 N/m^2,3400 N/m^2,4000 N/m^2,7500 N/m^2,3160 N/m^2,1500 N/m^2,2500 N/m^2,2000 N/m^2,D,3
12137,engineering,"Water enters a reactor through a length of pipe in which the necessarypreheating is accomplished. The reactor has a maximumpower rating of 150 W per meter of pipe, and its operatingtemperature is 350°K. The flow is measured at 5 kg/hr, and it enters the pipe at a mean bulk temperature of 290°K.If the internal diameter of the pipe is 0.005 m, calculate (a)thelength of pipe over which the necessary heat transfer maybe accomplished, and (b)themaximum exit temperature of the water.","(a) 2 m, (b) 375 K","(a) 2.8 m, (b) 355 K","(a) 3 m, (b) 370 K","(a) 1.5 m, (b) 375 K","(a) 1.8 m, (b) 360 K","(a) 3.5 m, (b) 372 K","(a) 2.5 m, (b) 360 K","(a) 1.2 m, (b) 365 K","(a) 4 m, (b) 380 K","(a) 2.32 m, (b) 367.07 K",J,9
11931,engineering,"Atoroidaltype of magnetic core of rectangular cross section hasthe following parameter values: l_m= 20 cm, A_m = (2 cm) (1 cm) = 2 cm^2, l_g= 0.1 cm,\mu_r= 4000. Determine the ampere turnsiNrequired to realize a magneticflux density in the air gap of magnitude B_g= 0.1Wb/m^2. The air-gap area is taken as A_g = (2 + 0.1) (1 + 0.1) cm^2 = 2.31 cm^2.",110 ampere turns,90 ampere turns,150 ampere turns,120 ampere turns,100 ampere turns,75 ampere turns,95.5 ampere turns,70 ampere turns,84.1 ampere turns,65 ampere turns,I,8
11921,engineering,"(i) A certain 230-volt motor has an armature-circuit resistance of 0.3 ohm and runs at a speed of 1200 rpm, with normal excitation and 50-amp armature current. (a) If the load is increased until the armature current has risen to 60 amp, what will be the new value of speed ? (b) If the load is reduced until the armature current has dropped to 25 amp, what will the speed become ? (ii) (a) If an attempt is made to start the motor of part (i) without auxiliary resistance, what will be the value of the current at the instant of closing the switch ? (b) What series resistance should be inserted in order that the armature current at the moment of starting may be limited to 1.5 times the normal value of 50 amp ?","S_2 = 1200 rpm, S_3 = 1200 rpm, I_a = 766 amp, R_s = 3 ohms","S_2 = 1100 rpm, S_3 = 1320 rpm, I_a = 765 amp, R_s = 2.8 ohms","S_2 = 1210 rpm, S_3 = 1180 rpm, I_a = 800 amp, R_s = 3.2 ohms","S_2 = 1250 rpm, S_3 = 1150 rpm, I_a = 770 amp, R_s = 3.5 ohms","S_2 = 1150 rpm, S_3 = 1275 rpm, I_a = 750 amp, R_s = 2.2 ohms","S_2 = 1230 rpm, S_3 = 1165 rpm, I_a = 755 amp, R_s = 3.1 ohms","S_2 = 1175 rpm, S_3 = 1225 rpm, I_a = 780 amp, R_s = 2.9 ohms","S_2 = 1130 rpm, S_3 = 1300 rpm, I_a = 760 amp, R_s = 2.5 ohms","S_2 = 1183 rpm, S_3 = 1242 rpm, I_a = 766 (2/3) amp, R_s = 2.77 ohms","S_2 = 1190 rpm, S_3 = 1210 rpm, I_a = 765 amp, R_s = 2.6 ohms",I,8
12194,engineering,Speed of data transmission in 4-G network of telecom is,10 gbps - 100 gbps.,50 mbps - 500 mbps.,2 mbps – 1 gbps.,100 mbps - 1 gbps.,386 kbps - 2 mbps.,2 mbps.,1 mbps - 10 mbps.,1 gbps - 10 gbps.,10 mbps - 100 mbps.,500 kbps - 1.5 mbps.,D,3
12170,engineering,"From economy considerations, suggest the use of either aluminium alloy or copper alloy fins. The following data is given: Density of the aluminium alloy = 2400 kg/m^3 Density of the copper allow = 8400 kg/m^3 Conductivity of the aluminium alloy = 78 kCal/m-hr°C Conductivity of the copper alloy = 190 kCal/m-hr°C The cost of aluminium alloy is twice the cost of copper alloy.","copper alloy for the core structure, with aluminium alloy as a decorative finish","aluminium alloy for low-temperature applications, copper alloy for high-temperature applications",copper alloy,"aluminium alloy, but with increased thickness to match copper alloy performance",a composite material that blends both aluminium and copper alloys,equal amount of both alloys,copper alloy with a coating of aluminium for enhanced conductivity,alternating layers of aluminium and copper alloys,neither alloy,aluminium alloy,C,2
6376,health,"A previously healthy 27-year-old nulligravid woman comes to the emergency department because of a 2-day history of moderate-to-severe pain and swelling of the left labia. She is sexually active and uses condoms inconsistently. Her temperature is 37.2°C (99°F), pulse is 92/min, respirations are 18/min, and blood pressure is 115/75 mm Hg. Pelvic examination shows a 4 x 3-cm, tender, fluctuant mass medial to the left labium majus compromising the introital opening. Which of the following is the most appropriate next step in management? ",Administration of intravenous ceftriaxone,Observation and re-evaluation in 24 hours,Initiation of antiviral therapy,Ultrasound-guided needle aspiration of the mass,Incision and drainage,Administration of oral antibiotics,Administration of intravenous vancomycin,Administration of intravenous penicillin G,Surgical excision of the mass,Administration of intravenous metronidazole,E,4
6598,health,The retirement phase that occurs least frequently is the ____ phase,Retirement routine,Post-retirement,Termination of Retirement,Early Retirement,Disenchantment,Immediate Retirement,Late Retirement,Honeymoon,Preretirement,Reorientation,E,4
6200,health,"Which membrane fatty acids are precursors for eicosanoids?
",C18 and C20 saturated fatty acids,C20 and C22 saturated fatty acids,C16 and C18 polyunsaturated fatty acids,C16 and C22 polyunsaturated fatty acids,C18 and C22 polyunsaturated fatty acids,C18 and C22 monounsaturated fatty acids,C20 and C22 monounsaturated fatty acids,C16 and C20 saturated fatty acids,C20 and C22 polyunsaturated fatty acids,C18 and C20 monounsaturated fatty acids,I,8
6729,health,Which of the following is true of the assessment of power in the arms?,Extension at the elbow is produced by the biceps muscle,Grade 3/5 (MRC scale) represents movement of the arm only when gravity is eliminated,Grade 2/5 power represents movement of the arm only against gravity.,The brachioradialis muscle is responsible for shoulder abduction,Grade 0/5 power represents full range of motion with resistance,The root value of shoulder abduction is C5,Flexion at the elbow is produced by the triceps muscle,Grade 5/5 (MRC scale) represents movement of the arm only when gravity is eliminated,The root value of shoulder abduction is C7,Grade 1/5 power represents no movement or muscle contraction,F,5
6073,health,Most of the free fatty acids are transported in the blood:,inside the red blood cells.,combined with oxygen.,as triglycerides.,as free molecules.,bound to white blood cells.,as lipoproteins.,attached to hemoglobin.,combined with glucose.,in the form of cholesterol.,bound to albumin.,J,9
6048,health,"A 4-year-old boy is brought for a follow-up examination. He has a history of chronic recurrent otitis media and recently completed a 10-day course of antibiotics. His vital signs are within normal limits. Examination shows clear ear canals and intact tympanic membranes; a brown, irregular mass is visualized behind the tympanic membrane. Which of the following is the most likely explanation for these findings?",Epithelial tissue proliferation,Lingual papillae loss,Middle ear effusion,Midface hypoplasia,,,,,,,A,0
6684,health,"A 52-year-old woman has had dyspnea and hemoptysis for 1 month. She has a history of rheumatic fever as a child and has had a cardiac murmur since early adulthood. Her temperature is 36.7°C (98°F), pulse is 130/min and irregularly irregular, respirations are 20/min, and blood pressure is 98/60 mm Hg. Jugular venous pressure is not increased. Bilateral crackles are heard at the lung bases. There is an opening snap followed by a low-pitched diastolic murmur at the third left intercostal space. An x-ray of the chest shows left atrial enlargement, a straight left cardiac border, and pulmonary venous engorgement. Which of the following is the most likely explanation for these findings?",Aortic valve insufficiency,Aortic valve stenosis,Mitral valve insufficiency,Mitral valve stenosis,,,,,,,D,3
6237,health,"An epidemic involving 10 individuals of all ages occurs in a migrant worker camp. None of the patients has had any form of immunization. Most cases present with fever, chills, tachypnea, sore throat, swollen glands, and severe malaise. One patient dies from respiratory complications, and another dies from myocardial involvement. A gram-positive rod is isolated from the respiratory tracts of 7 of the patients. The most likely cause of the outbreak is ",Streptococcus pneumoniae,Mycoplasma pneumoniae,Staphylococcus aureus,Bordetella pertussis,Streptococcus pyogenes,Mycobacterium tuberculosis,Haemophilus influenzae,Legionella pneumophila,Corynebacterium diphtheriae,Epstein-Barr virus,I,8
6799,health,"A previously healthy 40-year-old man is brought to the emergency department because of constant substernal chest pain for 12 hours that is exacerbated by coughing and inspiration. The pain is relieved with sitting up and leaning forward. There is no family history of heart disease. His temperature is 38°C (100.4°F), pulse is 120/min, and blood pressure is 110/60 mm Hg. The lungs are clear to auscultation. Cardiac examination shows distant heart sounds. An ECG shows diffuse ST-segment elevation in all leads. An x-ray of the chest shows normal findings. The most likely cause of his condition is injury to which of the following tissues? ",Aortic intima,Bronchial epithelium,Myocardium,Pleural membrane,Vascular endothelium,Pulmonary alveoli,Tracheal tissue,Pericardium,Cardiac valves,Esophageal sphincter,H,7
6301,health,A pulse may be felt on a patient's face where the,superficial temporal artery crosses the zygomatic arch.,superficial temporal artery crosses the mandible.,maxillary artery crosses the mandible.,superficial temporal artery crosses the orbital rim.,facial artery crosses the orbital rim.,superficial temporal artery crosses the maxilla.,facial artery crosses the zygomatic arch.,maxillary artery crosses the orbital rim.,facial artery crosses the maxilla.,facial artery crosses the mandible.,J,9
4709,history,Mayan art and iconography prominently feature depictions of:,mutilation and violence.,stars and comets.,infants and children.,modern technologies.,domesticated animals.,love and sex.,landscapes and sceneries.,everyday household activities.,abstract geometric shapes.,,A,0
4792,history,"This question refers to the following information.
""The challenge of the next half century is whether we have the wisdom to use wealth to enrich and elevate our national life, and to advance the quality of our American civilization….The Great Society rests on abundance and liberty for all. It demands an end to poverty and racial injustice, to which we are totally committed in our time. But that is just the beginning. The Great Society is a place where every child can find knowledge to enrich his mind and to enlarge his talents. It is a place where leisure is a welcome chance to build and reflect, not a feared cause of boredom and restlessness. It is a place where the city of man serves not only the needs of the body and the demands of commerce but the desire for beauty and the hunger for community. It is a place where man can renew contact with nature. It is a place which honors creation for its own sake and for what it adds to the understanding of the race. It is a place where men are more concerned with the quality of their goals than the quantity of their goods. But most of all, the Great Society is not a safe harbor, a resting place, a final objective, a finished work. It is a challenge constantly renewed, beckoning us toward a destiny where the meaning of our lives matches the marvelous products of our labor.""
Lyndon Johnson, Remarks at the University of Michigan, Ann Arbor, 1964
Along with his goals of establishing a Great Society, Johnson was also engaged in which of the following initiatives?",Undermining Communism in Korea with the Korean War,Undermining Communism in Russia during the Cuban Missile Crisis,Undermining Communism in China with the Cultural Revolution,Undermining Communism in Afghanistan with the Soviet-Afghan War,Undermining Communism in East Germany with the Berlin Airlift,Undermining Communism in the Eastern Block by demanding a removal of the Berlin Wall,Undermining Communism in Cuba with the Bay of Pigs Invasion,Undermining Communism in Laos with the Laotian Civil War,Undermining Communism in Turkey and Greece using economic aid,Undermining Communism in Vietnam after the Tet Offensive,J,9
4720,history,"This question refers to the following information.
I appeal to any white man to say, if ever he entered Logan's cabin hungry, and he gave him not meat: if ever he came cold and naked, and he clothed him not? During the course of the last long and bloody war, Logan remained idle in his cabin, an advocate for peace. Such was my love for the whites, that my countrymen pointed as they passed, and said, ""Logan is the friend of the white man."" I had even thought to have lived with you but for the injuries of one man. Colonel Cresap, the last spring, in cold blood and unprovoked; murdered all the relations of Logan, not even sparing my women and children. There runs not a drop of my blood in the veins of any living creature. This called on me for revenge. I have sought it: I have killed many; I have fully glutted my vengeance. For my country, I rejoice at the beams of peace. But do not harbor a thought that mine is the joy of fear. Logan never felt fear. He will not turn on his heel to save his life. Who is there to mourn for Logan? Not one.
—Address attributed to Logan, an Indian leader, 1774
Which of the following in later years would be most likely to see themselves in Logan's position?",An opponent of consumerism in the 1950s,An opponent of big government in the 1930s,A supporter of liberalism in the 1960s,An opponent of industrialization in the 1800s,A supporter of civil rights in the 1960s,A supporter of environmentalism in the 1980s,An opponent of globalization in the 2000s,A supporter of communism in the 1950s,A supporter of feminism in the 1970s,,B,1
4870,history,Homo erectus was:,"a stable, long-lived species.",the first hominid to stand “erect” and walk upright.,a hominid species that was completely herbivorous.,the first hominid to develop agriculture.,"an unsuccessful, short-lived species.",a hominid species that lived primarily in trees.,a species that coexisted with modern humans.,the first hominid to develop complex language.,the first hominid to make and use stone tools.,,A,0
4817,history,"The Gault site in south-central Texas has produced evidence from 13,000 years ago that Paleoindians chose this location based on the:",nearness of the site to navigable rivers and the Gulf coast.,proximity to other Paleoindian settlements.,presence of a large lake for fishing and transportation.,nearby location of migratory routes of large mammals such as bison.,proximity to a local source of chert for quarrying and making stone tools.,"abundance of wild game, plants, and fish in a rich and diverse woodland environment.",availability of clay for pottery making.,,,,E,4
4908,history,Inca architecture is noted for its:,focus on creating intricate geometric patterns.,construction of structures exclusively on hilltops.,employment of advanced hydraulic systems.,"incorporation of wood, earth, and stone.",reliance on natural materials such as leaves and vines.,extensive use of glass and metal.,use of the vaulted arch.,unprecedented size and sophistication.,use of circular designs in most structures.,precise jigsaw-like stone masonry.,J,9
5001,history,"By 1900 B.P., the central elements of Mayan culture were in place. These did NOT include:",a hieroglyphic written language and calendar.,stratified societies ruled by kings.,a sophisticated bronze producing industry.,construction of large-scale pyramids.,usage of gold currency.,a system of slavery.,ritual ball games and a reverence for precious jade.,an established system of agriculture.,advanced maritime trade routes.,the practice of human sacrifice.,C,2
4862,history,When did Aborigines occupy the harsh interior of Australia?,"40,000–45,000 years ago","60,000–65,000 years ago","70,000–75,000 years ago","15,000–20,000 years ago","10,000–12,000 years ago","30,000–35,000 years ago","50,000–55,000 years ago","25,000–30,000 years ago","35,000–40,000 years ago","20,000–25,000 years ago",J,9
4752,history,"This question refers to the following information.
""And then Shapur, King of Kings, passed away. Then his son Hormizd, King of Kings, rose over the empire. And Hormizd, King of Kings, conferred on me cap and belt and created for me a higher rank and dignity, and at court and in kingdom after kingdom, place after place, throughout the whole empire he gave me more authority and power in matters of the divine services, and created for me the title ""Kerdir, Ahura Mazda's [Chief Priest]"" after the name of Ahura Mazda, the Deity. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence, and many Warham fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And then Hormizd, King of Kings, passed away. Then Bahram, King of Kings, son of Shapur, King of Kings, and brother of Hormizd, King of Kings, rose over the empire. And Bahram, King of Kings, also held me in high honor and dignity and at court and in kingdom after kingdom, place after place, gave me authority and power for divine services of every sort. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence and many Warharan fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And in kingdom after kingdom and place after place throughout the whole empire the services of Ahura Mazda and the gods became preeminent, and great dignity came to the Mazdayanian religion and the magi in the empire, and the gods and water and fire and small cattle in the empire attained great satisfaction, while Ahriman [the evil counterpart to Ahura Mazda] and the demons were punished and rebuked, and the teachings of Ahriman and the demons departed from the empire and were abandoned. And Jews, Buddhists, Hindus, Nasoreans [Orthodox Christians], Christians, Maktak [Baptists], and Manichaeans in the empire were smitten, and destruction of idols and scattering of the stores of the demons and god-seats and nests was abandoned.""
Excerpt from the inscription of Kerdir at Naqsh-e-Rustam, Persia, late third century C.E.
Which of the following best explains the presence of Buddhist communities within Sassanid Persia?",Persian efforts to convert people away from Buddhism inspired further followers.,Buddhism's apocalyptic message swayed converts in Persia.,Persia's location sat astride international trade routes with India.,Buddhists were granted limited toleration by Zoroastrians.,,,,,,,A,0
4865,history,Archaeological evidence for the domestication of cats suggests it occurred when and why?,"after 11,000 years ago, as an unintentional consequence of food production and storage","before 15,000 years ago, as an unintentional result of the cultivation of crops","before 22,000 years ago, as a result of the shift from opportunistic foraging to logistical collecting","before 13,000 years ago, due to intentional breeding for pest control purposes","before 11,000 years ago, as a direct result of artificial selection","after 14,000 years ago, as an unintentional consequence of the domestication of birds","after 12,000 years ago, due to intentional breeding for hunting purposes","before 10,000 years ago, as a direct result of artificial selection for companionship","after 9,000 years ago, as an unintentional result of the domestication of cattle and production of milk and cheese","after 7,000 years ago, as a direct result of the domestication of dogs",A,0
1608,law,"A contractor and home owner were bargaining on the price for the construction of a new home. The contractor made a number of offers for construction to the home owner including one for $100,000. Which of the following communications would not terminate the offer so that a subsequent acceptance could be effective",The home owner tells the contractor they have decided to build the house themselves.,"The contractor informs the home owner that the cost of materials has increased, therefore the offer needs to be renegotiated.","The home owner asks the contractor if they would be willing to build the house for $95,000.",The home owner asks the contractor if they could complete the job within six months.,The contractor dies before the home owner accepts but the contractor's son intends to continue the business.,"The home owner tells the contractor they have found another contractor who will do the job for $90,000.","The home owner states ""I accept your offer but the price is to be $97,000.""",The contractor contacts the home owner and states that the offer is withdrawn.,"The contractor increases the offer to $105,000 before the homeowner can accept.",The contractor's business is declared bankrupt before the home owner can accept.,C,2
1302,law,"On Thursday, March 7, an owner's home was destroyed by fire. The owner's house was insured against such fire loss by an insurance company. According to the policy contract, the insured was required to notify the insurance company within 10 days following any loss due to fire or other catastrophe. The owner sued the insurance company to recover $750,000, which was the face amount that his home was insured for. The insurance company admitted that the owner's house was insured for that amount, though the company denied liability because it claimed that it had not received notice of the fire within the 10-day period as required by the policy. At trial, the owner calls his bookkeeper to testify. The bookkeeper proposes to testify that on March 11, the owner handed her an envelope and told her it contained a notice form for the insurance company, and that she mailed the envelope on his behalf. If the bookkeeper intends to establish that the envelope that the owner handed her contained the notice of fire loss, her proposed testimony is","admissible, because the owner's statement to her is non-hearsay.","inadmissible, as the bookkeeper's testimony is considered second-hand information.","admissible, because a letter properly mailed is presumed received in due course.","inadmissible, because it is the responsibility of the owner, not the bookkeeper, to ensure the insurance company received the notice.","inadmissible, because the owner's statement to the bookkeeper is not the best evidence.","admissible, as the bookkeeper's testimony provides proof of the owner's attempt to notify the insurance company.","inadmissible, because the owner's statement to the bookkeeper is hearsay not within any exception.","inadmissible, because the bookkeeper cannot confirm the contents of the envelope.","admissible, because the owner's statement is considered a verbal act.","admissible, because the bookkeeper is a credible witness.",G,6
1425,law,"A construction contractor brought a breach of contract claim in federal court against a homeowner who had hired the contractor to build an apartment over an existing garage. The action turned on the scope of the work covered by the contract. The contractor and the homeowner were the only witnesses at the bench trial, and they strongly disagreed about the scope of the work. At the end of the trial, the judge stated findings of fact on the record but never issued a written opinion. Neither party objected to the findings. The judge found in favor of the homeowner, and the contractor appealed. Is the appellate court likely to overturn the findings?","No, because the appellate court must give due regard to the trial judge's opportunity to determine witness credibility.","Yes, because the contractor and homeowner had different views on the scope of the work.","Yes, because a judge must set forth findings of fact in a written opinion or memorandum of decision.","No, because the judge's findings of fact were stated on the record.","Yes, because the homeowner was found in favor.","No, because the contractor brought the claim in federal court.","Yes, because there were disputed issues of fact at trial.","No, because the contractor didn't provide sufficient evidence to support the claim.","Yes, because the appellate court has the power to overturn the findings.","No, because the contractor failed to object to the findings when the judge stated them in open court.",A,0
1014,law,"An orange grove and a vineyard are adjoining tracts of land located in a county. In 2006, a farmer purchased the orange grove, a 10-acre tract, in fee simple absolute. The vineyard, a 20-acre tract situated to the north of the orange grove, was owned by a rancher in fee simple absolute. A remote predecessor of the farmer had granted to a shepherd a way for egress and ingress across the orange grove under such terms and circumstances that an easement appurtenant to the vineyard was created. This right-of-way was executed by deed and properly recorded. The shepherd, however, never made any actual use of the right-of-way. In 2010, the rancher conveyed the vineyard to the farmer. The next year, the farmer conveyed the vineyard by deed to an investor for a consideration of $200,000, receipt of which was acknowledged. Neither the rancher farmer deed nor the farmer  investor deed contained any reference to the easement for right-of-way. The investor has now claimed that she has a right-of-way across the orange grove. The farmer, on the other hand, has informed the investor that no such easement exists. Assume that the orange grove abuts a public highway. The only access to that public highway for the vineyard is across the orange grove. If the investor initiates an appropriate action to determine her right to use the right-of-way across the orange grove, she should","prevail, because once an easement is properly recorded, it remains in effect ad finem until expressly released.","prevail, because the farmer was aware of the easement when he purchased the vineyard.","not prevail, because any easements were extinguished by merger when the farmer acquired a fee simple in the vineyard.","prevail, because the vineyard has no other access to the public highway.","not prevail, because the easement was never actually used by the shepherd.","prevail, because an easement by implication arose from the farmer's conveyance to the investor.","prevail, because the right-of-way was granted by a remote predecessor and not the farmer.","not prevail, because the farmer has the right to revoke the easement at any time.","not prevail, because the deed of conveyance from the farmer to the investor failed to contain any mention of the right-of-way.","not prevail, because the right-of-way was not included in the farmer-investor deed.",F,5
1222,law,"In June a computer retailer ordered 100 computers, with various configurations, from a manufacturer, to be delivered by August 1. The order form expressly limited acceptance to the terms of the offer. In July the manufacturer sent a confirmation agreeing to the terms and specifications, but stating that ""shipment will be made in two deliveries, half by August 10 and the other half by August 20."" When shipment was not made by August 1, the retailer withdrew the order. Will the manufacturer prevail in enforcing a contract?","No, because the order was withdrawn before the machines were shipped.","Yes, because the manufacturer sent a confirmation agreeing to the terms and specifications.","Yes, because there was only a minimal difference between the offer and acceptance.","No, because the manufacturer failed to deliver on the agreed date.","Yes, because the order was not officially canceled by the retailer.","No, because the offer expressly limited the acceptance to the terms of the offer.","No, because the manufacturer changed the terms without the retailer's explicit consent.","Yes, because the retailer assented to the terms by remaining silent until after August 1.","Yes, because the manufacturer had the right to change the delivery dates.","No, because the retailer has the right to withdraw the order at any time before shipment.",H,7
1978,law,"A grantor is the fee simple owner of a 1,000-acre tract of land. Half of the tract is swampland totally unfit for cultivation, though it is heavily covered with valuable hardwood timber. The other half is also covered with valuable timber, but it is land that would be fit for the raising of crops if it were cleared of the timber. The latter section of land is more valuable for cultivation than it is for the growing of timber. The grantor conveyed his tract to his brother for life. At the time of the conveyance, the swampland had never been used for the production of timber. The brother took possession and cleared 40 acres of the timber on the section that was suitable for cultivation. In addition, the brother cut 60 acres of timber in the swampland, thus becoming the first person to exploit this area. The brother's cutting of the timber on the section of tract suitable for cultivation would be an example of",unreasonable exploitation.,intentional waste.,constructive waste.,ameliorative waste.,negligent waste.,voluntary waste.,remedial waste.,permissive waste.,equitable waste.,,D,3
1375,law,‘Law consists of set of principles or body of rules recognized and applied by the State in the administration of justice’. The statement is made by :,Blackstone,Bentham,Gray,Austin,Kelsen,Dworkin,Salmond,H.L.A. Hart,Roscoe Pound,Holland,G,6
