question_id,category,question,A,B,C,D,E,F,G,H,I,J,answer,answer_index
12128,engineering,"Five capacitors each of 5 µF are connected in series, the equivalent capacitance of the system will be",15 µF,10 µF,5 µF,0.1 µF,2 µF,0.5 µF,30 µF,1 µF,25 µF,20 µF,H,7
11911,engineering,"The density of liquid gallium is 6.09 g/cm^3 at 35°C. If this element is employed in a barometer instead of mercury, what is the height of a column of gallium sustained in the barometer at 1 atm. pressure?",1750 mmGa,1600 mmGa,1900 mmGa,1450 mmGa,1800 mmGa,1400 mmGa,1697 mmGa,1650 mmGa,1500 mmGa,1550 mmGa,G,6
11942,engineering,"A steel cylinder contains liquid at a mean bulk temperature of 80°F. Steam condensing at 212°F on the outside surface is used for heating the liquid. The coefficient of heat transfer on the steam side is 1,000 Btu/hr-ft^2-°F. The liquid is agitated by the stirring action of a turbine impeller. Its diameter is 2 ft., and it moves at an angular velocity of 100 rpm. The cylinder is 6 ft. long, with a diameter of 6 ft. and a wall thickness of 1/8 in. The thermal conductivity of steel may be taken as 9.4 Btu/hr-ft^2-°F. Properties of the liquid, taken as constant, are: c_p = 0.6 Btu/lbm-°Fk = 0.1 Btu/hr-ft-°F \rho = 60lbm/ft^3 The viscosity at 130°F is 653.4lbm/ft-hr, and at 212°F is 113.74lbm/ft-hr. Calculate the time required to raise the mean bulk temperature of the liquid to 180°F.",3.5 hr,1.92 hr,4.0 hr,1.75 hr,2.0 hr,3.0 hr,2.5 hr,1.5 hr,2.75 hr,2.15 hr,B,1
11826,engineering,A vertical cylinder 300 mm in diameter is fitted (at the top) witha tight but frictionless piston and is completely filled with waterat 70°C. The outside of the piston is exposed to an atmosphericpressure of 100kPa. Calculate the minimum forceapplied to the piston which will cause the water to boil.,3.12kN,7.2kN,5.02kN,4.00kN,6.75kN,1.95kN,2.86kN,4.86kN,5.5kN,3.98kN,H,7
11865,engineering,A horizontal pipe has a 12 in. outside diameter. The temperatureof the outer surface is 110°F and the air around itis at 1 atm. and 90°F. Approximate the rate of heat loss by freeconvection from a unit length of this pipe.,48(Btu/hr-ft),40(Btu/hr-ft),50(Btu/hr-ft),32(Btu/hr-ft),36(Btu/hr-ft),24(Btu/hr-ft),34(Btu/hr-ft),28(Btu/hr-ft),42(Btu/hr-ft),30(Btu/hr-ft),E,4
12116,engineering,Find a cosine series which represents f(x) in 0 \leq x \leq \pi if f(x) is defined as f(x) = 00 \leq x < (\pi / 2) f(x) = 1(\pi / 2) < x \leq \pi.,f(x)= (1 / 2) - (2 / \pi) \sum_n=0^∞ (- 1)^n [{sin(n)} / (2n + 1)],f(x)= (1 / 2) - (2 / \pi) \sum_n=1^∞ (- 1)^n [{cos(2n)} / (2n + 1)],f(x)= (1 / 2) - (2 / \pi) \infty \sum_n=0 (- 1)^n [{sin(2n + 1)} / (2n + 1)],f(x)= (1 / 2) - (1 / \pi) \sum_n=0^∞ (- 1)^n [{cos(n)} / n],f(x)= (1 / 2) - (2 / \pi) \infty \sum_n=0 (- 1)^n [{tan(2n + 1)} / (2n + 1)],f(x)= (1 / 2) - (2 / \pi) \infty \sum_n=0 (- 1)^n [{cos(2n + 1)} / (2n + 1)],f(x)= (1 / 2) + (2 / \pi) \sum_n=1^∞ (- 1)^n [{cos(2n)} / (2n)],f(x)= (1 / 2) - (2 / \pi) \sum_n=0^∞ [{cos(2n + 1)} / (2n)],f(x)= (1 / 2) - (4 / \pi) \sum_n=0^∞ (- 1)^n [{sin(2n)} / (2n + 1)],f(x)= (1 / 2) - (2 / \pi) \infty \sum_n=0 (- 1)^n [{cos(2n + 1)} / (2n + 2)],F,5
11609,engineering,"Evaluate \nablaf at the point (2, 3,5). The scalar field f is given by f(x_1, x_2, x_3) = 2 sin x_1 - x_1^2x_2x_3 + x_1e^(x)2(1)","(40.74, -20.17, 12)","(- 30.74, 10.17, - 2)","(0, 40.34, 24)","(30.74, 10.17, 2)","(40.74, 20.17, -12)","(- 40.74, 20.17, - 12)","(30.74, -20.17, -12)","(-40.74, -20.17, 12)","(-30.74, -10.17, 2)","(40.74, 20.17, 12)",F,5
11297,engineering,Heats of formation are usually estimated by using bond dissociationenergies. Determine the heat of formation for propane@ STP using the following bond energy data. DATA @ 298°K and 1atm Bond Bond energy (kcal/mole) C-C 80 C-H 99 H-H 103,- 35 kcal/mole,- 18.3 kcal/mole,- 22.7 kcal/mole,- 15 kcal/mole,- 20 kcal/mole,- 27.4 kcal/mole,- 30 kcal/mole,- 32.1 kcal/mole,- 25.5 kcal/mole,- 24.9 kcal/mole,J,9
11694,engineering,"Given the ABCD parameters \vertV_1\vert = \vertAB\vert\vert V_2 \vert \vertI_1\vert\vertCD\vert\vert- I_2\vert(1) for a two port network. Find the G parameters, \vertI_1\vert = \vertg_11g_12\vert\vertV_1\vert \vertV_2\vert\vertg_21g_22\vert\vertI2\vert(2) in terms of the ABCD parameters.","g_11 = (C/D), g_22 = (A / C), g_21 = (D / A), g_12 = {(DC - AB) / (D)}, y_12 = [(\DeltaT) / D]","g_11 = (D/B), g_22 = (A / D), g_21 = (C / B), g_12 = {(BC - DA) / (B)}, y_12 = [(\DeltaT) / D]","g_11 = (D/C), g_22 = (D / B), g_21 = (D / A), g_12 = {(BD - AC) / (A)}, y_12 = [(- \DeltaT) / D]","g_11 = (B/C), g_22 = (D / B), g_21 = (1 / C), g_12 = {(BD - AC) / (B)}, y_12 = [(- \DeltaT) / B]","g_11 = (C/A), g_22 = (B / A), g_21 = (1 / A), g_12 = {(CB - AD) / (A)}, y_12 = [(- \DeltaT) / A]","g_11 = (A/B), g_22 = (C / D), g_21 = (B / D), g_12 = {(AB - CD) / (D)}, y_12 = [(- \DeltaT) / C]","g_11 = (D/A), g_22 = (C / B), g_21 = (B / A), g_12 = {(CA - BD) / (C)}, y_12 = [(\DeltaT) / C]","g_11 = (B/A), g_22 = (C / A), g_21 = (A / D), g_12 = {(AD - CB) / (A)}, y_12 = [(\DeltaT) / A]","g_11 = (A/C), g_22 = (A / B), g_21 = (A), g_12 = {(AD - BC) / (A)}, y_12 = [(\DeltaT) / B]","g_11 = (B/D), g_22 = (C / A), g_21 = (D / C), g_12 = {(DA - CB) / (D)}, y_12 = [(- \DeltaT) / D]",E,4
6795,health,"A 12-year-old boy with sickle cell disease and type 1 diabetes mellitus is brought to the office by his mother for an initial visit. The family recently moved to the area. Type 1 diabetes mellitus was diagnosed in the patient 6 years ago. Since that time, he has been treated with insulin and dietary management. His insulin regimen has not changed during the past year; however, his mother says he has been only marginally compliant with his insulin and dietary regimens. His diabetic diary shows home fingerstick blood glucose concentrations ranging from 140–200 mg/dL during the past 3 months. He admits to checking his glucose concentrations infrequently. Measurement of hemoglobin A1c obtained last week was 5.4%. The patient's vital signs are temperature 36.8°C (98.2°F), pulse 72/min, respirations 24/min, and blood pressure 110/64 mm Hg. Physical examination shows no abnormalities. Which of the following is the most likely explanation for the discrepancy between the patient's home fingerstick blood glucose concentrations and his hemoglobin A1c?",His daily glucose control is better than recorded,His glucometer is reading falsely high and should be replaced,His hemoglobin A1c is likely a result of laboratory error and should be repeated,His sickle cell disease is affecting his hemoglobin A1c,,,,,,,D,3
6668,health,"A healthy 22-year-old man participates in a study of glucose metabolism. At the beginning of the study, his serum glucose concentration is within the reference range. He consumes an 800-calorie meal consisting of protein, fat, and carbohydrates. He then sleeps through the night without additional food or drink. Twelve hours later, his serum glucose concentration remains within the reference range. Which of the following mechanisms is most likely involved in maintaining this man's serum glucose concentration?",Increased glucose uptake by the brain,Continued gut absorption of calories from the ingested meal,Increased glucose uptake by red blood cells,Glucose release from skeletal muscle,Glycogenolysis in the liver,Increased leptin release from adipose tissues,Enhanced gluconeogenesis in the kidney,Elevated insulin secretion from the pancreas,,,E,4
6531,health,Do traits change with age?,They change a little,They only change due to major life events,Only after the age of 60,Only in childhood,Only for women,They change drastically,No,Only for men,They change quite a lot,They don't change at all,A,0
6450,health,"A 63-year-old woman comes to the physician 1 day after the sudden onset of pain and swelling of her right knee. She has had no injury. Her medications include occasional ibuprofen for mild osteoarthritis of both knees. Her temperature is 37°C (98.6°F), pulse is 97/min, respirations are 19/min, and blood pressure is 129/79 mm Hg. Examination of the right knee shows warmth, erythema, and effusion. Exquisite tenderness is produced with minimal range-of-motion testing. Examination of synovial fluid obtained via joint aspiration shows that it is clear, with positively birefringent rhomboids observed under polarized light microscopy. Deposition of which of the following substances is the most likely cause of these findings?",Sodium pyrophosphate,Sodium urate,Aluminum urate,Magnesium pyrophosphate,Calcium pyrophosphate,Potassium oxalate,Calcium urate,Ammonium urate,Calcium oxalate,Calcium sulfate,E,4
6709,health,"Which of the following statements is correct?
",Storing canned food in direct sunlight enhances the preservation of vitamin C due to UV radiation,Canning food in a nitrogen atmosphere significantly increases the vitamin C content over time,The headspace of canned food is vacuum-sealed to completely eliminate oxygen and prevent any loss of vitamin C,The process of canning inherently doubles the vitamin C content of food due to heat exposure,The addition of preservatives to canned food prevents any loss of vitamin C during the canning process,Losses of vitamin C are much higher for most canned fruits than those for canned vegetables,The amount of oxygen available in the headspace of canned food is kept at a high level so as to limit losses of vitamin C,Freezing canned food after sealing increases losses of vitamin C due to ice crystal formation,Losses of vitamin C in canned foods during storage at ambient temperature tend to be small,,I,8
6558,health,"Five years after being shot in the right thigh, a 21-year-old man comes to the emergency department because of a buzzing sensation adjacent to the scar. At the time of the initial wound, he was discharged after 6 hours of observation with no fractures or soft-tissue swelling. A loud murmur is heard on auscultation; there is a thrill. He has dilated varicose veins with incompetent valves in the lower leg. Which of the following is the most likely diagnosis? ",Arterial spasm,Arteriovenous fistula,Lymphedema,Occlusion of the superficial femoral artery,Superficial venous thrombosis,Pulmonary embolism,Venous ulcer,Peripheral artery disease,Chronic venous insufficiency,Deep venous thrombosis,B,1
6660,health,Which of the following diagnostic techniques is of no value for the diagnosis of neural tube defects?,Chorion villus sampling (CVS),Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI),Biopsy,Blood pressure measurement,Computed tomography (CT) scan,Maternal serum screening,Ultrasonography,Electroencephalogram (EEG),Amniocentesis,A,0
6823,health,"Which of the following will provide the main fuel for muscle contraction during short-term intense activity such as sprinting?
 ",Muscle protein,Muscle triacylglycerol,Plasma triacylglycerol in VLDL,Ingested carbohydrates,Liver glycogen,Plasma amino acids,Muscle glycogen,Plasma free fatty acids,Plasma lactate,Plasma glucose,G,6
6689,health,"A 50-year-old woman comes to the office for the first time because of recurrent abdominal pain. Review of her extensive medical chart, which she has brought with her, discloses that she has a long history of varying physical symptoms. Definitive causes for these symptoms have not been found despite extensive diagnostic studies, consultations with many physicians, and several surgical explorations. She gives dramatic and exaggerated descriptions of her present and past symptoms, and she makes conflicting statements about her history. She has been hospitalized at least 23 times since age 18 years. Which of the following is the most likely diagnosis?",Somatic symptom disorder,Generalized anxiety disorder,Dependent personality disorder,Borderline personality disorder,Munchausen syndrome,Conversion disorder,Schizophrenia,Occult medical disorder,Narcissistic personality disorder,Histrionic personality disorder,A,0
6617,health,A 68-year-old female has a history of breast cancer that has recurred twice in the past 5 years. She has undergone both radiation and chemotherapy for metastatic carcinoma to the bone. She presents to the office today to ask for help in dealing with midthoracic back pain to enable her to use less analgesic agents. The most appropriate osteopathic manipulative technique to treat this patient's spine is,direct soft tissue technique,"high velocity, low amplitude","high velocity, high amplitude",indirect myofascial release,isotonic exercise therapy,"mid velocity, mid amplitude",static stretching technique,direct myofascial release,isotonic resistance therapy,,D,3
4924,history,"This question refers to the following information.
O ye who believe! Strong drink and games of chance and idols… are only an infamy of Satan's handiwork. Leave it aside in order that ye may succeed.
the Qur'an, Sura 5: 89
When once you hear the roses are in bloom,
Then is the time, my love, to pour the wine.
the Rubáiyát of Omar Khayyám
The tone of the first verse best reflects which of the following modes of religious discourse?",A call for personal sacrifice in the name of faith,A sermon about respecting political authority,An invitation to question traditional religious beliefs,An ecumenical call for religious tolerance,A cautionary tale about the dangers of hedonism,A mystical appeal to the divine in nature,An endorsement of joyful celebration,A philosophical discourse on the nature of sin and redemption,A puritanical injunction to adhere to a strict code of conduct,A spirited attempt to convert non-believers,I,8
4942,history,"This question refers to the following information.
""Wherever I go—the street, the shop, the house, or the steamboat—I hear the people talk in such a way as to indicate that they are yet unable to conceive of the Negro as possessing any rights at all. Men who are honorable in their dealings with their white neighbors will cheat a Negro without feeling a single twinge of their honor. To kill a Negro they do not deem murder; to debauch a Negro woman they do not think fornication; to take the property away from a Negro they do not consider robbery. The people boast that when they get freedmen affairs in their own hands, to use their own classic expression, 'the niggers will catch hell.'
""The reason of all this is simple and manifest. The whites esteem the blacks their property by natural right, and however much they may admit that the individual relations of masters and slaves have been destroyed by the war and the President's emancipation proclamation, they still have an ingrained feeling that the blacks at large belong to the whites at large, and whenever opportunity serves they treat the colored people just as their profit, caprice or passion may dictate.""
—Congressional testimony of Col. Samuel Thomas, Assistant Commissioner, Bureau of Refugees, Freedmen and Abandoned Lands, 1865
Which of the following specific developments contributed to the general sentiment expressed in Federalist #15?",Dutch traders forced American ships to extend tribute payments in order to dock in Holland.,Russian explorers claimed land in the Pacific Northwest.,Portugal imposed trade restrictions on American goods.,Spain denied American access to the Mississippi River.,Italian mercenaries attempted to seize control of the Mississippi River.,Great Britain refused to evacuate forts in the Great Lakes region.,French and Spanish forces engaged in skirmishes with American settlers on the western frontier.,British forces supported American Indian tribes in conducting raids on the Frontier.,French forces aided American Indians in conducting raids on New England.,Spanish forces retook Florida from the United States.,F,5
5019,history,"This question refers to the following information.
""The power . . . given to the commanding officer over all the people of each district is that of an absolute monarch. His mere will is to take the place of all law. . . . It reduces the whole population of the ten states—all persons, of every color, sex, and condition, and every stranger within their limits—to the most abject and degrading slavery.""
The political sentiment of the veto message above is most similar to which of the following political positions taken in the twentieth century?",President George W. Bush's implementation of the Patriot Act in 2001.,The Black Panther Party's opposition to police brutality in the 1960s.,President Richard Nixon's response to the Watergate scandal in 1974.,Governor Orval Faubus's response to the steps taken by President Dwight Eisenhower to resolve the Little Rock crisis in 1957.,Senator Bernie Sanders's stance on income inequality in 2016.,John Lewis's endorsement of the Voting Rights Act in 1965.,President Franklin D. Roosevelt's decision to intern Japanese-Americans during World War II in 1942.,U.S. Army lawyer Joseph Welsh's opposition to Senator Joseph McCarthy in the Army-McCarthy hearings in 1954.,"Justice Frank Murphy's dissent in the Supreme Court case, Korematsu v. United States in 1944.",Martin Luther King Jr.'s criticism of the Vietnam War in 1967.,D,3
4890,history,"This question refers to the following information.
Read the excerpts below.
This corruption is repeatedly designated by Paul by the term sin . . . such as adultery, fornication, theft, hatred, murder, revellings, he terms, in the same way, the fruits of sin, though in various passages of Scripture . . . we are, merely on account of such corruption, deservedly condemned by God, to whom nothing is acceptable but righteousness, innocence, and purity.
—John Calvin, from The Institutes of Christian Religion, Book 2: Chapter 1, 1545
The covenant of life is not preached equally to all, and among those to whom it is preached, does not always meet with the same reception. This diversity displays the unsearchable depth of the divine judgment, and is without doubt subordinate to God's purpose of eternal election. But if it is plainly owing to the mere pleasure of God that salvation is spontaneously offered to some, while others have no access to it, great and difficult questions immediately arise, questions which are inexplicable, when just views are not entertained concerning election and predestination[,] . . . the grace of God being illustrated by the contrast, viz., that he does not adopt all promiscuously to the hope of salvation, but gives to some what he denies to others.
—John Calvin, from The Institutes of Christian Religion, Book 3: Chapter 21, 1545
Which of the following justifications used by Protestant reformers such as Calvin is alluded to above?","The belief that everyone has direct access to God, without the need for priests or church hierarchy.",The belief in the necessity of separation of church and state.,They believed in religious tolerance and the acceptance of different faiths.,Religion was used to challenge the authority of earthly monarchs.,The corruption of the Roman Catholic Church and its leaders meant that reform was needed.,They believed that their church should not be subordinate to the state.,The notion that salvation is predetermined and not all individuals have access to it.,The idea that churches should be self-governed and independent.,The idea that religious teachings should be made available in the vernacular rather than in Latin.,The concept that salvation comes from faith alone rather than through good works is supported.,E,4
4867,history,"Unlike Mesopotamian writings, the records left by the Maya are principally concerned with:",music and arts.,geography and climate.,architecture and construction methods.,legal and judicial systems.,political and military history.,philosophy and religion.,trade and economics.,social and cultural practices.,agriculture and farming techniques.,,E,4
4937,history,"Which area is home to the tradition of making stone tools from chipped pebbles, called Hoabinhian?",North America,Australia,Central America,Arctic Region,Middle East,South America,Antarctica,Africa,Asia,Europe,I,8
4685,history,"This question refers to the following information.
""Those whose condition is such that their function is the use of their bodies and nothing better can be expected of them, those, I say, are slaves of nature. It is better for them to be ruled thus.""
Juan de Sepulveda, Politics, 1522
""When Latin American nations gained independence in the 19th century, those two strains converged, and merged with an older, more universalist, natural law tradition. The result was a distinctively Latin American form of rights discourse. Paolo Carozza traces the roots of that discourse to a distinctive application, and extension, of Thomistic moral philosophy to the injustices of Spanish conquests in the New World. The key figure in that development seems to have been Bartolomé de Las Casas, a 16th-century Spanish bishop who condemned slavery and championed the cause of Indians on the basis of a natural right to liberty grounded in their membership in a single common humanity. 'All the peoples of the world are humans,' Las Casas wrote, and 'all the races of humankind are one.' According to Brian Tierney, Las Casas and other Spanish Dominican philosophers laid the groundwork for a doctrine of natural rights that was independent of religious revelation 'by drawing on a juridical tradition that derived natural rights and natural law from human rationality and free will, and by appealing to Aristotelian philosophy.'""
Mary Ann Glendon, ""The Forgotten Crucible: The Latin American Influence on the Universal Human Rights Idea,” 2003
Which of the following presidents was most involved in Latin American politics in the twentieth century?",Theodore Roosevelt,Franklin D. Roosevelt,Harry S. Truman,Chester Arthur,Dwight Eisenhower,Woodrow Wilson,James K. Polk,James Monroe,John F. Kennedy,Richard Nixon,A,0
5006,history,The skulls of the earliest migrants to the New World do not match those of modern Native Americans. This suggests that:,the early migrants were not human.,the early migrants did not contribute to the genetic pool of modern Native Americans.,the early migrants were a separate species.,craniometrics is an unreliable method of tracking populations.,skull shapes can change dramatically over generations.,modern Native Americans have very different DNA.,the findings are not significant and can be disregarded.,"the ""skull"" haplogroup was not passed on.",modern Native Americans underwent a significant evolution.,,D,3
4763,history,"The __________ tradition features finely made, leaf-shaped stone blades. The __________ tradition, which followed behind it, emphasizes bone and antler work.",Aurignacian; Solutrean,Gravettian; Solutrean,Gravettian; Aurignacian,Gravettian; Magdelanian,Magdelanian; Gravettian,Aurignacian; Gravettian.,Magdelanian; Aurignacian,Magdelanian; Solutrean,Solutrean; Aurignacian,Solutrean; Magdelanian,J,9
5049,history,"This question refers to the following information.
""But you, my dear Pangloss,"" said Candide, ""how can it be that I behold you again?""
""It is true,"" said Pangloss, ""that you saw me hanged&….A surgeon purchased my body, carried home, and dissected me. He began with making a crucial incision on me from the navel to the clavicula. One could not have been worse hanged than I was. The executioner of the Holy Inquisition was a sub-deacon, and knew how to burn people marvellously well, but he was not accustomed to hanging. The cord was wet and did not slip properly, and besides it was badly tied; in short, I still drew my breath, when the crucial incision made me give such a frightful scream that my surgeon fell flat upon his back&…[At length he] sewed up my wounds; his wife even nursed me. I was upon my legs at the end of fifteen days&….
One day I took it into my head to step into a mosque, where I saw an old Iman and a very pretty young devotee who was saying her paternosters&….She dropped her bouquet; I picked it up, and presented it to her with a profound reverence. I was so long in delivering it that the Iman began to get angry, and seeing that I was a Christian he called out for help. They carried me before the cadi, who ordered me a hundred lashes on the soles of the feet and sent me to the galleys. I was chained to the very same galley and the same bench as the young Baron. On board this galley there were four young men from Marseilles, five Neapolitan priests, and two monks from Corfu, who told us similar adventures happened daily. The Baron maintained that he had suffered greater injustice than I&….We were continually disputing, and received twenty lashes with a bull's pizzle when the concatenation of universal events brought you to our galley, and you were good enough to ransom us.""
""Well, my dear Pangloss,"" said Candide to him, ""when you had been hanged, dissected, whipped, and were tugging at the oar, did you always think that everything happens for the best?""
""I am still of my first opinion,"" answered Pangloss, ""for I am a philosopher and I cannot retract, especially as Leibnitz could never be wrong; and besides, the pre-established harmony is the finest thing in the world, and so is his plenum and materia subtilis.""
Voltaire, French Enlightenment writer, Candide, 1759
Candide's statement that ""everything always happens for the best"" can be seen as a reflection of the Enlightenment belief that",a people without a strong central authority are doomed to live in a state of nature,humans are inherently corrupt and need strict laws to maintain order,only free markets can lead nations to wealth and happiness,"the only purpose of a government is to secure the rights of life, liberty, and property",individuals are the best judges of their own interests,only through suffering can one achieve enlightenment,society can be perfected if you apply the scientific method to it,the world is inherently chaotic and unpredictable,religious institutions are the only source of moral authority,the universe is a pre-determined and unchangeable system,G,6
1038,law,"A man, a woman, and their son went to their neighbor's house. The man intended to take back some tools that he believed were his and that the neighbor was keeping unlawfully. The woman believed that the tools were the man's, and she intended to help the man take them. When the son learned that the man and the woman were going to break into the neighbor's home, he decided to accompany them. The son planned to find some items inside that might be worth taking. Arriving at the neighbor's home, the man opened the front door, which was closed but unlocked. Upon entering, the son went to the neighbor's upstairs bedroom and found a watch, which he took. In the meantime, the man and the woman went to the garage and began rummaging through the neighbor's tools. The man found the tools, which he seized. The three of them then left the neighbor's home. In this jurisdiction, burglary is defined as the breaking and entering of any structure with the intent to commit a felony therein. Which, if any, individuals should be found guilty of conspiracy?",The man and the woman.,None.,Only the woman.,The woman and the son.,"The man, the woman, and the son.",Only the man.,"The woman, the son, and the neighbor.",Only the son.,The man and the son.,"The man, the son, and the neighbor.",B,1
1881,law,"A state law provides for an award of damages against anyone who publishes the name of a rape victim. Pursuant to that law, a woman sued a local newspaper in state court after the newspaper identified her as a rape victim. The state trial and appellate courts rejected the claim, holding that the state law was invalid under both the state constitution and the First Amendment of the U.S. Constitution. The state supreme court affirmed, holding specifically: ""We think that this well-intentioned law very likely violates the First Amendment of the federal Constitution. We need not, however, decide that issue, because the law assuredly violates our state constitution, which provides even greater protection to the right of the press to report the news."" The woman petitioned for review in the U.S. Supreme Court. Is the U.S. Supreme Court likely to review the state supreme court judgment?","No, because the woman already had the opportunity to present her case in the state courts.","No, because the First Amendment prohibits the imposition of liability for the publication of truthful information.","Yes, because the state supreme court made a constitutional error in its judgment.","No, because the U.S. Supreme Court generally does not review cases involving state laws.","No, because the judgment of the state supreme court rests upon an adequate and independent state-law ground.","Yes, because the U.S. Supreme Court has the power to review decisions of state supreme courts.","No, because the state supreme court's judgment was based on its interpretation of its own state's constitution.","Yes, because the First Amendment rights of the press are at stake.","Yes, because the supremacy clause does not permit a state to create rights greater than those conferred by the federal Constitution.","Yes, because the U.S. Supreme Court's appellate jurisdiction extends to cases arising under federal law.",E,4
1413,law,"A farmer owns a large farm on which he allows his friends to hunt during quail-hunting season. He does not provide his friends with any instructions about gun safety. The neighbor who owns property adjacent to the farm knows of the friends' use of the property during the hunting season. One day during the hunting season, without the farmer's knowledge or permission, the neighbor took a shortcut across the farm to visit an acquaintance. The neighbor was wounded by a shot fired by one of the farmer's friends, who was shooting at quail and carelessly failed to see the neighbor. Traditional rules of landowners' and occupiers' liability apply. In an action by the neighbor against the farmer to recover for the injuries, will the neighbor be likely to prevail?","No, because the neighbor should have known of the danger due to the hunting season.","Yes, because the use of firearms is an abnormally dangerous activity.","Yes, because the careless friend was permitted to hunt without safety training.","No, because the farmer is not responsible for his friends' conduct.","Yes, because the farmer should have posted warning signs about hunting activities.","No, because the neighbor was trespassing.","No, because the farmer's friends were the ones responsible for the shooting.","No, because the farmer was not present at the time of the accident.","Yes, because the farmer had a duty to ensure the safety of his property.","Yes, because the farmer allowed unsafe hunting practices on his property.",F,5
1220,law,"A distributor agrees to sell 100 tubes of growth hormone to a medical treatment center in exchange for $30,000. The contract has many clauses, including one that prohibits generally the assignment of the contract or any of its terms. The distributor assigns its right to receive the funds anyway. Will a court enforce the bar against assignment under these circumstances?","No, a bar of assignment does not apply to the right to receive the funds unless specifically stated.","Yes, unless the contract explicitly states that the bar of assignment does not apply to the right to receive funds.","No, a bar of assignment can only be enforced if it is notarized and legally binding.","Yes, a bar against the right to receive proceeds is a favored restriction unless otherwise stated.","Yes, a contractual provision prohibiting assignments is enforceable in all respects.","Yes, a bar of assignment applies to all aspects of the contract, including the right to receive funds.","No, a bar of assignment is an unconstitutional deprivation of due process.","No, a bar of assignment is unenforceable if it inhibits the completion of the contract.","No, a court will not enforce the bar against assignment as it infringes upon the distributor's right to do business.","Yes, a contractual provision prohibiting assignments is enforceable unless it contradicts federal law.",A,0
1565,law,"A state statute contained reasonable provisions for the regulation, sale, possession and use of certain weapons for self-defense in one's home, including semi-automatic rifles and handguns. The statute stressed registration and the individual's personal characteristics. The law prohibited the issuance of a license to felons and mentally ill persons or others presenting a danger of violence. It prohibited the commercial sale of guns from residential locations and required a commercial permit. Certain semi-automatic weapons were prohibited. A citizen who wished to purchase and maintain various guns in a manner violative of the statute sued the state. He claimed that the statute was a violation of the Second Amendment, which provides for the ""right to keep and bear arms."" The case was accepted for review by the U.S. Supreme Court. What will the Court decide?",The statute is a reasonable regulation that will not hinder the right to possess a handgun for self-defense in the home and the individual's lawsuit will be dismissed.,"The statute is unconstitutional because it violates the Second Amendment, thus the individual's lawsuit will be successful.","The statute is invalid as it excessively regulates the possession and use of firearms, thus the individual's lawsuit will be successful.","The statute is unreasonable as it infringes on the individual's right to bear arms, thus the man's lawsuit will be successful.","The Second Amendment only applies to militias, thus the individual's lawsuit will be dismissed.",Semi-automatic guns cannot be restricted in any way and the lawsuit will be successful.,"The Second Amendment prohibits all forms of gun control because of the need for a strong militia, and the man's lawsuit will be successful.",The statute is a reasonable regulation but the individual's lawsuit will still be successful due to a technicality in the law.,"The statute is constitutional as it aims to prevent the misuse of firearms, thus the individual's lawsuit will be dismissed.","The regulation of firearms for the safety of society is an absolute, unfettered right of the state governments and the individual's lawsuit is dismissed for that reason.",A,0
1570,law,"A creditor loaned his friend $15,000 to help pay for the friend's daughter's college tuition. Six months later, the friend lost his job and was unable to repay the loan to the creditor. After learning of his friend's situation, the creditor sent his friend the following letter on June 1:""I promise to discharge the $15,000 debt which you owe me upon delivery of your autographed baseball bat if you promise to deliver the bat to me by August 1 . ""After receiving this letter, the friend telephoned the creditor and accepted the offer. The friend's verbal acceptance of the creditor's offer most likely effectuated",a substituted compromise agreement.,a debt recovery agreement.,an accord and satisfaction.,a novation.,a mortgage agreement.,a bilateral executory accord.,a mutual satisfaction agreement.,an unenforceable promise.,a creditor-debtor agreement.,a unilateral executory accord.,F,5
1683,law,"Connie Computer decided to purchase a $1,000 laptop computer to use during law school. When she went into Computer Retailer Inc., the salesperson also sold her a 5-year service agreement for $1,200 for a total price of $2,200. Nine months later, the laptop stopped working and Computer Retailer refused to perform on their service agreement. If Connie sues Computer Retailer, the trial court will likely find for","Computer Retailer, under the UCC unless the predominate reason for entering into the contract was for the service portion of the contract.","Connie, under the UCC unless the predominate purpose of the agreement was for the service agreement portion of the contract.","Connie, under the common law unless the predominate reason for entering into the contract was for the service portion of the contract.","Computer Retailer, only if the court determines that the predominate purpose of the contract was for the goods portion of the contract.","Connie, under the common law because the predominate purpose for which the parties contracted was the sale of goods.","Computer Retailer, if the court determines that the predominate purpose of the agreement is determined by intent and not the relative dollars assigned to the computer and the service agreement.","Connie, under the UCC only if the predominate reason for entering into the contract was for the goods portion of the contract.","Computer Retailer, under the common law if the court determines that the predominate purpose of the agreement was for the service agreement portion of the contract.","Connie, if the court determines that the predominate purpose of the agreement is determined by the relative dollars assigned to the computer and the service agreement.","Computer Retailer, if the court determines that the service agreement was not a significant part of the contract.",G,6
